survived,pclass,sex,sex(LE),age,sibsp,parch,fare,embarked,embarked,class,class,who,who,adult_male,embark_town,embark_town,alive,alive,alone
1,3,male,1,28,0,0,7.2,C,0,Third,2,man,1,TRUE,Cherbourg,0,yes,1,TRUE
0,3,male,1,21,0,0,8.1,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
0,3,female,0,18,2,0,18.0,S,2,Third,2,woman,2,FALSE,Southampton,2,no,0,FALSE
1,3,female,0,14,1,0,11.2,C,0,Third,2,child,0,FALSE,Cherbourg,0,yes,1,FALSE
0,3,female,0,40,1,0,9.5,S,2,Third,2,woman,2,FALSE,Southampton,2,no,0,FALSE
0,2,female,0,27,1,0,21.0,S,2,Second,1,woman,2,FALSE,Southampton,2,no,0,FALSE
0,3,male,1,28,0,0,7.9,C,0,Third,2,man,1,TRUE,Cherbourg,0,no,0,TRUE
1,2,female,0,3,1,2,41.6,C,0,Second,1,child,0,FALSE,Cherbourg,0,yes,1,FALSE
1,3,female,0,19,0,0,7.9,Q,1,Third,2,woman,2,FALSE,Queenstown,1,yes,1,TRUE
0,3,male,1,28,0,0,8.1,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
0,3,male,1,28,1,0,15.5,Q,1,Third,2,man,1,TRUE,Queenstown,1,no,0,FALSE
1,3,female,0,28,0,0,7.8,Q,1,Third,2,woman,2,FALSE,Queenstown,1,yes,1,TRUE
0,3,male,1,28,2,0,21.7,C,0,Third,2,man,1,TRUE,Cherbourg,0,no,0,FALSE
0,3,female,0,18,1,0,17.8,S,2,Third,2,woman,2,FALSE,Southampton,2,no,0,FALSE
0,3,male,1,7,4,1,39.7,S,2,Third,2,child,0,FALSE,Southampton,2,no,0,FALSE
0,3,male,1,21,0,0,7.8,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
1,1,female,0,49,1,0,76.7,C,0,First,0,woman,2,FALSE,Cherbourg,0,yes,1,FALSE
1,2,female,0,29,1,0,26.0,S,2,Second,1,woman,2,FALSE,Southampton,2,yes,1,FALSE
0,1,male,1,65,0,1,62.0,C,0,First,0,man,1,TRUE,Cherbourg,0,no,0,FALSE
1,1,male,1,28,0,0,35.5,S,2,First,0,man,1,TRUE,Southampton,2,yes,1,TRUE
1,2,female,0,21,0,0,10.5,S,2,Second,1,woman,2,FALSE,Southampton,2,yes,1,TRUE
0,3,male,1,28.5,0,0,7.2,C,0,Third,2,man,1,TRUE,Cherbourg,0,no,0,TRUE
1,2,female,0,5,1,2,27.8,S,2,Second,1,child,0,FALSE,Southampton,2,yes,1,FALSE
0,3,male,1,11,5,2,46.9,S,2,Third,2,child,0,FALSE,Southampton,2,no,0,FALSE
0,3,male,1,22,0,0,7.2,C,0,Third,2,man,1,TRUE,Cherbourg,0,no,0,TRUE
1,1,female,0,38,0,0,80.0,S,2,First,0,woman,2,FALSE,Southampton,2,yes,1,TRUE
0,1,male,1,45,1,0,83.5,S,2,First,0,man,1,TRUE,Southampton,2,no,0,FALSE
0,3,male,1,4,3,2,27.9,S,2,Third,2,child,0,FALSE,Southampton,2,no,0,FALSE
0,1,male,1,28,0,0,27.7,C,0,First,0,man,1,TRUE,Cherbourg,0,no,0,TRUE
1,3,male,1,28,1,1,15.2,C,0,Third,2,man,1,TRUE,Cherbourg,0,yes,1,FALSE
1,2,female,0,29,0,0,10.5,S,2,Second,1,woman,2,FALSE,Southampton,2,yes,1,TRUE
0,3,male,1,19,0,0,8.2,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
1,3,female,0,17,4,2,7.9,S,2,Third,2,woman,2,FALSE,Southampton,2,yes,1,FALSE
0,3,male,1,26,2,0,8.7,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,FALSE
0,2,male,1,32,0,0,10.5,S,2,Second,1,man,1,TRUE,Southampton,2,no,0,TRUE
0,3,female,0,16,5,2,46.9,S,2,Third,2,woman,2,FALSE,Southampton,2,no,0,FALSE
0,2,male,1,21,0,0,73.5,S,2,Second,1,man,1,TRUE,Southampton,2,no,0,TRUE
0,3,male,1,26,1,0,14.5,C,0,Third,2,man,1,TRUE,Cherbourg,0,no,0,FALSE
1,3,male,1,32,0,0,56.5,S,2,Third,2,man,1,TRUE,Southampton,2,yes,1,TRUE
0,3,male,1,25,0,0,7.7,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
0,3,male,1,28,0,0,7.9,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
0,3,male,1,28,0,0,8.1,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
1,2,male,1,0.83,0,2,29.0,S,2,Second,1,child,0,FALSE,Southampton,2,yes,1,FALSE
1,3,female,0,30,0,0,12.5,S,2,Third,2,woman,2,FALSE,Southampton,2,yes,1,TRUE
0,3,male,1,22,0,0,9.0,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
1,3,male,1,29,0,0,9.5,S,2,Third,2,man,1,TRUE,Southampton,2,yes,1,TRUE
1,3,female,0,28,0,0,7.8,Q,1,Third,2,woman,2,FALSE,Queenstown,1,yes,1,TRUE
0,1,male,1,28,0,0,47.1,S,2,First,0,man,1,TRUE,Southampton,2,no,0,TRUE
1,2,female,0,17,0,0,10.5,S,2,Second,1,woman,2,FALSE,Southampton,2,yes,1,TRUE
1,3,female,0,33,3,0,15.9,S,2,Third,2,woman,2,FALSE,Southampton,2,yes,1,FALSE
0,3,male,1,16,1,3,34.4,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,FALSE
0,3,male,1,28,0,0,8.1,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
1,1,female,0,23,3,2,263.0,S,2,First,0,woman,2,FALSE,Southampton,2,yes,1,FALSE
0,3,male,1,24,0,0,8.1,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
0,3,male,1,29,0,0,8.1,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
0,3,male,1,20,0,0,7.9,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
0,1,male,1,46,1,0,61.2,S,2,First,0,man,1,TRUE,Southampton,2,no,0,FALSE
0,3,male,1,26,1,2,20.6,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,FALSE
0,3,male,1,59,0,0,7.3,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
0,3,male,1,28,0,0,8.1,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
0,1,male,1,71,0,0,34.7,C,0,First,0,man,1,TRUE,Cherbourg,0,no,0,TRUE
1,1,male,1,23,0,1,63.4,C,0,First,0,man,1,TRUE,Cherbourg,0,yes,1,FALSE
1,2,female,0,34,0,1,23.0,S,2,Second,1,woman,2,FALSE,Southampton,2,yes,1,FALSE
0,2,male,1,34,1,0,26.0,S,2,Second,1,man,1,TRUE,Southampton,2,no,0,FALSE
0,3,female,0,28,0,0,7.9,S,2,Third,2,woman,2,FALSE,Southampton,2,no,0,TRUE
0,3,male,1,28,0,0,7.9,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
0,1,male,1,21,0,1,77.3,S,2,First,0,man,1,TRUE,Southampton,2,no,0,FALSE
0,3,male,1,33,0,0,8.7,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
0,3,male,1,37,2,0,7.9,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,FALSE
0,3,male,1,28,0,0,7.9,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
1,3,female,0,21,0,0,7.7,S,2,Third,2,woman,2,FALSE,Southampton,2,yes,1,TRUE
1,3,male,1,28,0,0,7.8,S,2,Third,2,man,1,TRUE,Southampton,2,yes,1,TRUE
0,3,male,1,38,0,0,7.9,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
1,3,female,0,28,1,0,24.2,Q,1,Third,2,woman,2,FALSE,Queenstown,1,yes,1,FALSE
0,1,male,1,47,0,0,52.0,S,2,First,0,man,1,TRUE,Southampton,2,no,0,TRUE
0,3,female,0,14.5,1,0,14.5,C,0,Third,2,child,0,FALSE,Cherbourg,0,no,0,FALSE
0,3,male,1,22,0,0,8.1,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
0,3,female,0,20,1,0,9.8,S,2,Third,2,woman,2,FALSE,Southampton,2,no,0,FALSE
0,3,female,0,17,0,0,14.5,C,0,Third,2,woman,2,FALSE,Cherbourg,0,no,0,TRUE
0,3,male,1,21,0,0,7.9,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
0,3,male,1,70.5,0,0,7.8,Q,1,Third,2,man,1,TRUE,Queenstown,1,no,0,TRUE
0,2,male,1,29,1,0,21.0,S,2,Second,1,man,1,TRUE,Southampton,2,no,0,FALSE
0,1,male,1,24,0,1,247.5,C,0,First,0,man,1,TRUE,Cherbourg,0,no,0,FALSE
0,3,female,0,2,4,2,31.3,S,2,Third,2,child,0,FALSE,Southampton,2,no,0,FALSE
0,2,male,1,21,2,0,73.5,S,2,Second,1,man,1,TRUE,Southampton,2,no,0,FALSE
0,3,male,1,28,0,0,8.1,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
0,2,male,1,32.5,1,0,30.1,C,0,Second,1,man,1,TRUE,Cherbourg,0,no,0,FALSE
1,2,female,0,32.5,0,0,13.0,S,2,Second,1,woman,2,FALSE,Southampton,2,yes,1,TRUE
0,1,male,1,54,0,1,77.3,S,2,First,0,man,1,TRUE,Southampton,2,no,0,FALSE
1,3,male,1,12,1,0,11.2,C,0,Third,2,child,0,FALSE,Cherbourg,0,yes,1,FALSE
0,3,male,1,28,0,0,7.8,Q,1,Third,2,man,1,TRUE,Queenstown,1,no,0,TRUE
1,3,male,1,24,0,0,7.1,S,2,Third,2,man,1,TRUE,Southampton,2,yes,1,TRUE
1,3,female,0,28,1,1,22.4,C,0,Third,2,woman,2,FALSE,Cherbourg,0,yes,1,FALSE
0,3,male,1,45,0,0,7.0,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
0,3,male,1,33,0,0,7.9,C,0,Third,2,man,1,TRUE,Cherbourg,0,no,0,TRUE
0,3,male,1,20,0,0,7.1,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
0,3,female,0,47,1,0,14.5,S,2,Third,2,woman,2,FALSE,Southampton,2,no,0,FALSE
1,2,female,0,29,1,0,26.0,S,2,Second,1,woman,2,FALSE,Southampton,2,yes,1,FALSE
0,2,male,1,25,0,0,13.0,S,2,Second,1,man,1,TRUE,Southampton,2,no,0,TRUE
0,2,male,1,23,0,0,15.0,C,0,Second,1,man,1,TRUE,Cherbourg,0,no,0,TRUE
1,1,female,0,19,0,2,26.3,S,2,First,0,woman,2,FALSE,Southampton,2,yes,1,FALSE
0,1,male,1,37,1,0,53.1,S,2,First,0,man,1,TRUE,Southampton,2,no,0,FALSE
0,3,male,1,16,0,0,9.2,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
0,1,male,1,24,0,0,79.2,C,0,First,0,man,1,TRUE,Cherbourg,0,no,0,TRUE
0,3,female,0,28,0,2,15.2,C,0,Third,2,woman,2,FALSE,Cherbourg,0,no,0,FALSE
1,3,female,0,22,0,0,7.8,S,2,Third,2,woman,2,FALSE,Southampton,2,yes,1,TRUE
1,3,female,0,24,1,0,15.9,S,2,Third,2,woman,2,FALSE,Southampton,2,yes,1,FALSE
0,3,male,1,19,0,0,6.8,Q,1,Third,2,man,1,TRUE,Queenstown,1,no,0,TRUE
0,2,male,1,18,0,0,11.5,S,2,Second,1,man,1,TRUE,Southampton,2,no,0,TRUE
0,2,male,1,19,1,1,36.8,S,2,Second,1,man,1,TRUE,Southampton,2,no,0,FALSE
1,3,male,1,27,0,0,7.8,S,2,Third,2,man,1,TRUE,Southampton,2,yes,1,TRUE
0,3,female,0,9,2,2,34.4,S,2,Third,2,child,0,FALSE,Southampton,2,no,0,FALSE
0,2,male,1,36.5,0,2,26.0,S,2,Second,1,man,1,TRUE,Southampton,2,no,0,FALSE
0,2,male,1,42,0,0,13.0,S,2,Second,1,man,1,TRUE,Southampton,2,no,0,TRUE
0,2,male,1,51,0,0,12.5,S,2,Second,1,man,1,TRUE,Southampton,2,no,0,TRUE
1,1,female,0,22,1,0,66.6,S,2,First,0,woman,2,FALSE,Southampton,2,yes,1,FALSE
0,3,male,1,55.5,0,0,8.1,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
0,3,male,1,40.5,0,2,14.5,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,FALSE
0,3,male,1,28,0,0,7.3,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
0,1,male,1,51,0,1,61.4,C,0,First,0,man,1,TRUE,Cherbourg,0,no,0,FALSE
1,3,female,0,16,0,0,7.7,Q,1,Third,2,woman,2,FALSE,Queenstown,1,yes,1,TRUE
0,3,male,1,30,0,0,8.1,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
0,3,male,1,28,0,0,8.7,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
0,3,male,1,28,8,2,69.6,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,FALSE
0,3,male,1,44,0,1,16.1,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,FALSE
1,2,female,0,40,0,0,15.8,S,2,Second,1,woman,2,FALSE,Southampton,2,yes,1,TRUE
0,3,male,1,26,0,0,7.8,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
0,3,male,1,17,0,0,8.7,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
0,3,male,1,1,4,1,39.7,S,2,Third,2,child,0,FALSE,Southampton,2,no,0,FALSE
1,3,male,1,9,0,2,20.5,S,2,Third,2,child,0,FALSE,Southampton,2,yes,1,FALSE
1,1,female,0,28,0,1,55.0,S,2,First,0,woman,2,FALSE,Southampton,2,yes,1,FALSE
0,3,female,0,45,1,4,27.9,S,2,Third,2,woman,2,FALSE,Southampton,2,no,0,FALSE
0,1,male,1,28,0,0,25.9,S,2,First,0,man,1,TRUE,Southampton,2,no,0,TRUE
0,3,male,1,28,0,0,56.5,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
0,1,male,1,61,0,0,33.5,S,2,First,0,man,1,TRUE,Southampton,2,no,0,TRUE
0,3,male,1,4,4,1,29.1,Q,1,Third,2,child,0,FALSE,Queenstown,1,no,0,FALSE
1,3,female,0,1,1,1,11.1,S,2,Third,2,child,0,FALSE,Southampton,2,yes,1,FALSE
0,3,male,1,21,0,0,7.9,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
0,1,male,1,56,0,0,30.7,C,0,First,0,man,1,TRUE,Cherbourg,0,no,0,TRUE
0,3,male,1,18,1,1,7.9,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,FALSE
0,3,male,1,28,3,1,25.5,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,FALSE
0,1,female,0,50,0,0,28.7,C,0,First,0,woman,2,FALSE,Cherbourg,0,no,0,TRUE
0,2,male,1,30,0,0,13.0,S,2,Second,1,man,1,TRUE,Southampton,2,no,0,TRUE
0,3,male,1,36,0,0,0.0,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
0,3,female,0,28,8,2,69.6,S,2,Third,2,woman,2,FALSE,Southampton,2,no,0,FALSE
0,2,male,1,28,0,0,15.1,C,0,Second,1,man,1,TRUE,Cherbourg,0,no,0,TRUE
0,3,male,1,9,4,2,31.4,S,2,Third,2,child,0,FALSE,Southampton,2,no,0,FALSE
1,2,male,1,1,2,1,39.0,S,2,Second,1,child,0,FALSE,Southampton,2,yes,1,FALSE
1,3,female,0,4,0,2,22.0,S,2,Third,2,child,0,FALSE,Southampton,2,yes,1,FALSE
0,1,male,1,28,0,0,50.0,S,2,First,0,man,1,TRUE,Southampton,2,no,0,TRUE
1,3,female,0,28,1,0,15.5,Q,1,Third,2,woman,2,FALSE,Queenstown,1,yes,1,FALSE
1,1,male,1,45,0,0,26.6,S,2,First,0,man,1,TRUE,Southampton,2,yes,1,TRUE
0,3,male,1,40,1,1,15.5,Q,1,Third,2,man,1,TRUE,Queenstown,1,no,0,FALSE
0,3,male,1,36,0,0,7.9,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
1,2,female,0,32,0,0,13.0,S,2,Second,1,woman,2,FALSE,Southampton,2,yes,1,TRUE
0,2,male,1,19,0,0,13.0,S,2,Second,1,man,1,TRUE,Southampton,2,no,0,TRUE
1,3,female,0,19,1,0,7.9,S,2,Third,2,woman,2,FALSE,Southampton,2,yes,1,FALSE
1,2,male,1,3,1,1,26.0,S,2,Second,1,child,0,FALSE,Southampton,2,yes,1,FALSE
1,1,female,0,44,0,0,27.7,C,0,First,0,woman,2,FALSE,Cherbourg,0,yes,1,TRUE
1,1,female,0,58,0,0,146.5,C,0,First,0,woman,2,FALSE,Cherbourg,0,yes,1,TRUE
0,3,male,1,28,0,0,7.8,Q,1,Third,2,man,1,TRUE,Queenstown,1,no,0,TRUE
0,3,male,1,42,0,1,8.4,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,FALSE
1,3,female,0,28,0,0,7.8,Q,1,Third,2,woman,2,FALSE,Queenstown,1,yes,1,TRUE
0,2,female,0,24,0,0,13.0,S,2,Second,1,woman,2,FALSE,Southampton,2,no,0,TRUE
0,3,male,1,28,0,0,9.5,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
0,3,male,1,28,8,2,69.6,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,FALSE
0,3,male,1,34,0,0,6.5,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
0,3,male,1,45.5,0,0,7.2,C,0,Third,2,man,1,TRUE,Cherbourg,0,no,0,TRUE
1,3,male,1,18,0,0,8.1,S,2,Third,2,man,1,TRUE,Southampton,2,yes,1,TRUE
0,3,female,0,2,0,1,10.5,S,2,Third,2,child,0,FALSE,Southampton,2,no,0,FALSE
0,3,male,1,32,1,0,15.9,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,FALSE
1,3,male,1,26,0,0,18.8,C,0,Third,2,man,1,TRUE,Cherbourg,0,yes,1,TRUE
1,3,female,0,16,0,0,7.8,Q,1,Third,2,woman,2,FALSE,Queenstown,1,yes,1,TRUE
1,1,male,1,40,0,0,31.0,C,0,First,0,man,1,TRUE,Cherbourg,0,yes,1,TRUE
0,3,male,1,24,0,0,7.1,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
1,2,female,0,35,0,0,21.0,S,2,Second,1,woman,2,FALSE,Southampton,2,yes,1,TRUE
0,3,male,1,22,0,0,7.3,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
0,2,male,1,30,0,0,13.0,S,2,Second,1,man,1,TRUE,Southampton,2,no,0,TRUE
0,3,male,1,28,1,0,7.8,Q,1,Third,2,man,1,TRUE,Queenstown,1,no,0,FALSE
1,1,female,0,31,1,0,113.3,C,0,First,0,woman,2,FALSE,Cherbourg,0,yes,1,FALSE
1,3,female,0,27,0,0,7.9,S,2,Third,2,woman,2,FALSE,Southampton,2,yes,1,TRUE
0,2,male,1,42,1,0,27.0,S,2,Second,1,man,1,TRUE,Southampton,2,no,0,FALSE
1,1,female,0,32,0,0,76.3,C,0,First,0,woman,2,FALSE,Cherbourg,0,yes,1,TRUE
0,2,male,1,30,0,0,10.5,S,2,Second,1,man,1,TRUE,Southampton,2,no,0,TRUE
1,3,male,1,16,0,0,8.1,S,2,Third,2,man,1,TRUE,Southampton,2,yes,1,TRUE
0,2,male,1,27,0,0,13.0,S,2,Second,1,man,1,TRUE,Southampton,2,no,0,TRUE
0,3,male,1,51,0,0,8.1,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
0,3,male,1,28,0,0,7.9,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
1,1,male,1,38,1,0,90.0,S,2,First,0,man,1,TRUE,Southampton,2,yes,1,FALSE
0,3,male,1,22,0,0,9.4,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
1,2,male,1,19,0,0,10.5,S,2,Second,1,man,1,TRUE,Southampton,2,yes,1,TRUE
0,3,male,1,20.5,0,0,7.3,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
0,2,male,1,18,0,0,13.0,S,2,Second,1,man,1,TRUE,Southampton,2,no,0,TRUE
0,3,female,0,28,3,1,25.5,S,2,Third,2,woman,2,FALSE,Southampton,2,no,0,FALSE
1,1,female,0,35,1,0,83.5,S,2,First,0,woman,2,FALSE,Southampton,2,yes,1,FALSE
0,3,male,1,29,0,0,7.8,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
0,2,male,1,59,0,0,13.5,S,2,Second,1,man,1,TRUE,Southampton,2,no,0,TRUE
1,3,female,0,5,4,2,31.4,S,2,Third,2,child,0,FALSE,Southampton,2,yes,1,FALSE
0,2,male,1,24,0,0,10.5,S,2,Second,1,man,1,TRUE,Southampton,2,no,0,TRUE
0,3,female,0,28,0,0,7.6,S,2,Third,2,woman,2,FALSE,Southampton,2,no,0,TRUE
0,2,male,1,44,1,0,26.0,S,2,Second,1,man,1,TRUE,Southampton,2,no,0,FALSE
1,2,female,0,8,0,2,26.3,S,2,Second,1,child,0,FALSE,Southampton,2,yes,1,FALSE
0,2,male,1,19,0,0,10.5,S,2,Second,1,man,1,TRUE,Southampton,2,no,0,TRUE
0,2,male,1,33,0,0,12.3,S,2,Second,1,man,1,TRUE,Southampton,2,no,0,TRUE
0,3,female,0,28,1,0,14.5,C,0,Third,2,woman,2,FALSE,Cherbourg,0,no,0,FALSE
1,3,female,0,28,1,0,15.5,Q,1,Third,2,woman,2,FALSE,Queenstown,1,yes,1,FALSE
0,2,male,1,29,0,0,10.5,S,2,Second,1,man,1,TRUE,Southampton,2,no,0,TRUE
0,3,male,1,22,0,0,7.1,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
0,3,male,1,30,0,0,7.2,C,0,Third,2,man,1,TRUE,Cherbourg,0,no,0,TRUE
0,1,male,1,44,2,0,90.0,Q,1,First,0,man,1,TRUE,Queenstown,1,no,0,FALSE
0,3,female,0,25,0,0,7.8,S,2,Third,2,woman,2,FALSE,Southampton,2,no,0,TRUE
1,2,female,0,24,0,2,14.5,S,2,Second,1,woman,2,FALSE,Southampton,2,yes,1,FALSE
1,1,male,1,37,1,1,52.6,S,2,First,0,man,1,TRUE,Southampton,2,yes,1,FALSE
0,2,male,1,54,1,0,26.0,S,2,Second,1,man,1,TRUE,Southampton,2,no,0,FALSE
0,3,male,1,28,0,0,7.3,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,TRUE
0,3,female,0,29,1,1,10.5,S,2,Third,2,woman,2,FALSE,Southampton,2,no,0,FALSE
0,1,male,1,62,0,0,26.6,S,2,First,0,man,1,TRUE,Southampton,2,no,0,TRUE
0,3,male,1,30,1,0,16.1,S,2,Third,2,man,1,TRUE,Southampton,2,no,0,FALSE
0,3,female,0,41,0,2,20.2,S,2,Third,2,woman,2,FALSE,Southampton,2,no,0,FALSE
1,3,female,0,29,0,2,15.2,C,0,Third,2,woman,2,FALSE,Cherbourg,0,yes,1,FALSE
1,1,female,0,28,0,0,79.2,C,0,First,0,woman,2,FALSE,Cherbourg,0,yes,1,TRUE
1,1,female,0,30,0,0,86.5,S,2,First,0,woman,2,FALSE,Southampton,2,yes,1,TRUE
1,1,female,0,35,0,0,512.3,C,0,First,0,woman,2,FALSE,Cherbourg,0,yes,1,TRUE
1,2,female,0,50,0,1,26.0,S,2,Second,1,woman,2,FALSE,Southampton,2,yes,1,FALSE
0,3,male,1,28,0,0,7.8,Q,1,Third,2,man,1,TRUE,Queenstown,1,no,0,TRUE
