total_bill,tip,sex,smoker,time,size,day_Thur,day_Fri,day_Sat,day_Sun
21.7,4.3,Male,No,Dinner,2,FALSE,FALSE,TRUE,FALSE
19.65,3,Female,No,Dinner,2,FALSE,FALSE,TRUE,FALSE
9.55,1.45,Male,No,Dinner,2,FALSE,FALSE,TRUE,FALSE
18.35,2.5,Male,No,Dinner,4,FALSE,FALSE,TRUE,FALSE
15.06,3,Female,No,Dinner,2,FALSE,FALSE,TRUE,FALSE
20.69,2.45,Female,No,Dinner,4,FALSE,FALSE,TRUE,FALSE
17.78,3.27,Male,No,Dinner,2,FALSE,FALSE,TRUE,FALSE
24.06,3.6,Male,No,Dinner,3,FALSE,FALSE,TRUE,FALSE
16.31,2,Male,No,Dinner,3,FALSE,FALSE,TRUE,FALSE
16.93,3.07,Female,No,Dinner,3,FALSE,FALSE,TRUE,FALSE
18.69,2.31,Male,No,Dinner,3,FALSE,FALSE,TRUE,FALSE
31.27,5,Male,No,Dinner,3,FALSE,FALSE,TRUE,FALSE
16.04,2.24,Male,No,Dinner,3,FALSE,FALSE,TRUE,FALSE
17.46,2.54,Male,No,Dinner,2,FALSE,FALSE,FALSE,TRUE
13.94,3.06,Male,No,Dinner,2,FALSE,FALSE,FALSE,TRUE
9.68,1.32,Male,No,Dinner,2,FALSE,FALSE,FALSE,TRUE
30.4,5.6,Male,No,Dinner,4,FALSE,FALSE,FALSE,TRUE
18.29,3,Male,No,Dinner,2,FALSE,FALSE,FALSE,TRUE
22.23,5,Male,No,Dinner,2,FALSE,FALSE,FALSE,TRUE
32.4,6,Male,No,Dinner,4,FALSE,FALSE,FALSE,TRUE
28.55,2.05,Male,No,Dinner,3,FALSE,FALSE,FALSE,TRUE
18.04,3,Male,No,Dinner,2,FALSE,FALSE,FALSE,TRUE
12.54,2.5,Male,No,Dinner,2,FALSE,FALSE,FALSE,TRUE
10.29,2.6,Female,No,Dinner,2,FALSE,FALSE,FALSE,TRUE
34.81,5.2,Female,No,Dinner,4,FALSE,FALSE,FALSE,TRUE
9.94,1.56,Male,No,Dinner,2,FALSE,FALSE,FALSE,TRUE
25.56,4.34,Male,No,Dinner,4,FALSE,FALSE,FALSE,TRUE
19.49,3.51,Male,No,Dinner,2,FALSE,FALSE,FALSE,TRUE
38.01,3,Male,Yes,Dinner,4,FALSE,FALSE,TRUE,FALSE
26.41,1.5,Female,No,Dinner,2,FALSE,FALSE,TRUE,FALSE
11.24,1.76,Male,Yes,Dinner,2,FALSE,FALSE,TRUE,FALSE
48.27,6.73,Male,No,Dinner,4,FALSE,FALSE,TRUE,FALSE
20.29,3.21,Male,Yes,Dinner,2,FALSE,FALSE,TRUE,FALSE
13.81,2,Male,Yes,Dinner,2,FALSE,FALSE,TRUE,FALSE
11.02,1.98,Male,Yes,Dinner,2,FALSE,FALSE,TRUE,FALSE
18.29,3.76,Male,Yes,Dinner,4,FALSE,FALSE,TRUE,FALSE
17.59,2.64,Male,No,Dinner,3,FALSE,FALSE,TRUE,FALSE
20.08,3.15,Male,No,Dinner,3,FALSE,FALSE,TRUE,FALSE
16.45,2.47,Female,No,Dinner,2,FALSE,FALSE,TRUE,FALSE
3.07,1,Female,Yes,Dinner,1,FALSE,FALSE,TRUE,FALSE
20.23,2.01,Male,No,Dinner,2,FALSE,FALSE,TRUE,FALSE
15.01,2.09,Male,Yes,Dinner,2,FALSE,FALSE,TRUE,FALSE
12.02,1.97,Male,No,Dinner,2,FALSE,FALSE,TRUE,FALSE
17.07,3,Female,No,Dinner,3,FALSE,FALSE,TRUE,FALSE
26.86,3.14,Female,Yes,Dinner,2,FALSE,FALSE,TRUE,FALSE
25.28,5,Female,Yes,Dinner,2,FALSE,FALSE,TRUE,FALSE
14.73,2.2,Female,No,Dinner,2,FALSE,FALSE,TRUE,FALSE
10.51,1.25,Male,No,Dinner,2,FALSE,FALSE,TRUE,FALSE
17.92,3.08,Male,Yes,Dinner,2,FALSE,FALSE,TRUE,FALSE
27.2,4,Male,No,Lunch,4,TRUE,FALSE,FALSE,FALSE
22.76,3,Male,No,Lunch,2,TRUE,FALSE,FALSE,FALSE
17.29,2.71,Male,No,Lunch,2,TRUE,FALSE,FALSE,FALSE
19.44,3,Male,Yes,Lunch,2,TRUE,FALSE,FALSE,FALSE
16.66,3.4,Male,No,Lunch,2,TRUE,FALSE,FALSE,FALSE
10.07,1.83,Female,No,Lunch,1,TRUE,FALSE,FALSE,FALSE
32.68,5,Male,Yes,Lunch,2,TRUE,FALSE,FALSE,FALSE
15.98,2.03,Male,No,Lunch,2,TRUE,FALSE,FALSE,FALSE
34.83,5.17,Female,No,Lunch,4,TRUE,FALSE,FALSE,FALSE
13.03,2,Male,No,Lunch,2,TRUE,FALSE,FALSE,FALSE
18.28,4,Male,No,Lunch,2,TRUE,FALSE,FALSE,FALSE
24.71,5.85,Male,No,Lunch,2,TRUE,FALSE,FALSE,FALSE
21.16,3,Male,No,Lunch,2,TRUE,FALSE,FALSE,FALSE
28.97,3,Male,Yes,Dinner,2,FALSE,TRUE,FALSE,FALSE
22.49,3.5,Male,No,Dinner,2,FALSE,TRUE,FALSE,FALSE
5.75,1,Female,Yes,Dinner,2,FALSE,TRUE,FALSE,FALSE
16.32,4.3,Female,Yes,Dinner,2,FALSE,TRUE,FALSE,FALSE
22.75,3.25,Female,No,Dinner,2,FALSE,TRUE,FALSE,FALSE
40.17,4.73,Male,Yes,Dinner,4,FALSE,TRUE,FALSE,FALSE
27.28,4,Male,Yes,Dinner,2,FALSE,TRUE,FALSE,FALSE
12.03,1.5,Male,Yes,Dinner,2,FALSE,TRUE,FALSE,FALSE
21.01,3,Male,Yes,Dinner,2,FALSE,TRUE,FALSE,FALSE
12.46,1.5,Male,No,Dinner,2,FALSE,TRUE,FALSE,FALSE
11.35,2.5,Female,Yes,Dinner,2,FALSE,TRUE,FALSE,FALSE
15.38,3,Female,Yes,Dinner,2,FALSE,TRUE,FALSE,FALSE
44.3,2.5,Female,Yes,Dinner,3,FALSE,FALSE,TRUE,FALSE
22.42,3.48,Female,Yes,Dinner,2,FALSE,FALSE,TRUE,FALSE
20.92,4.08,Female,No,Dinner,2,FALSE,FALSE,TRUE,FALSE
15.36,1.64,Male,Yes,Dinner,2,FALSE,FALSE,TRUE,FALSE
20.49,4.06,Male,Yes,Dinner,2,FALSE,FALSE,TRUE,FALSE
25.21,4.29,Male,Yes,Dinner,2,FALSE,FALSE,TRUE,FALSE
18.24,3.76,Male,No,Dinner,2,FALSE,FALSE,TRUE,FALSE
14.31,4,Female,Yes,Dinner,2,FALSE,FALSE,TRUE,FALSE
14,3,Male,No,Dinner,2,FALSE,FALSE,TRUE,FALSE
7.25,1,Female,No,Dinner,1,FALSE,FALSE,TRUE,FALSE
38.07,4,Male,No,Dinner,3,FALSE,FALSE,FALSE,TRUE
23.95,2.55,Male,No,Dinner,2,FALSE,FALSE,FALSE,TRUE
25.71,4,Female,No,Dinner,3,FALSE,FALSE,FALSE,TRUE
17.31,3.5,Female,No,Dinner,2,FALSE,FALSE,FALSE,TRUE
29.93,5.07,Male,No,Dinner,4,FALSE,FALSE,FALSE,TRUE
10.65,1.5,Female,No,Lunch,2,TRUE,FALSE,FALSE,FALSE
12.43,1.8,Female,No,Lunch,2,TRUE,FALSE,FALSE,FALSE
24.08,2.92,Female,No,Lunch,4,TRUE,FALSE,FALSE,FALSE
11.69,2.31,Male,No,Lunch,2,TRUE,FALSE,FALSE,FALSE
13.42,1.68,Female,No,Lunch,2,TRUE,FALSE,FALSE,FALSE
14.26,2.5,Male,No,Lunch,2,TRUE,FALSE,FALSE,FALSE
15.95,2,Male,No,Lunch,2,TRUE,FALSE,FALSE,FALSE
12.48,2.52,Female,No,Lunch,2,TRUE,FALSE,FALSE,FALSE
29.8,4.2,Female,No,Lunch,6,TRUE,FALSE,FALSE,FALSE
8.52,1.48,Male,No,Lunch,2,TRUE,FALSE,FALSE,FALSE
14.52,2,Female,No,Lunch,2,TRUE,FALSE,FALSE,FALSE
11.38,2,Female,No,Lunch,2,TRUE,FALSE,FALSE,FALSE
22.82,2.18,Male,No,Lunch,3,TRUE,FALSE,FALSE,FALSE
19.08,1.5,Male,No,Lunch,2,TRUE,FALSE,FALSE,FALSE
20.27,2.83,Female,No,Lunch,2,TRUE,FALSE,FALSE,FALSE
11.17,1.5,Female,No,Lunch,2,TRUE,FALSE,FALSE,FALSE
12.26,2,Female,No,Lunch,2,TRUE,FALSE,FALSE,FALSE
18.26,3.25,Female,No,Lunch,2,TRUE,FALSE,FALSE,FALSE
8.51,1.25,Female,No,Lunch,2,TRUE,FALSE,FALSE,FALSE
10.33,2,Female,No,Lunch,2,TRUE,FALSE,FALSE,FALSE
14.15,2,Female,No,Lunch,2,TRUE,FALSE,FALSE,FALSE
16,2,Male,Yes,Lunch,2,TRUE,FALSE,FALSE,FALSE
13.16,2.75,Female,No,Lunch,2,TRUE,FALSE,FALSE,FALSE
17.47,3.5,Female,No,Lunch,2,TRUE,FALSE,FALSE,FALSE
34.3,6.7,Male,No,Lunch,6,TRUE,FALSE,FALSE,FALSE
41.19,5,Male,No,Lunch,5,TRUE,FALSE,FALSE,FALSE
27.05,5,Female,No,Lunch,6,TRUE,FALSE,FALSE,FALSE
16.43,2.3,Female,No,Lunch,2,TRUE,FALSE,FALSE,FALSE
8.35,1.5,Female,No,Lunch,2,TRUE,FALSE,FALSE,FALSE
18.64,1.36,Female,No,Lunch,3,TRUE,FALSE,FALSE,FALSE
11.87,1.63,Female,No,Lunch,2,TRUE,FALSE,FALSE,FALSE
9.78,1.73,Male,No,Lunch,2,TRUE,FALSE,FALSE,FALSE
7.51,2,Male,No,Lunch,2,TRUE,FALSE,FALSE,FALSE
14.07,2.5,Male,No,Dinner,2,FALSE,FALSE,FALSE,TRUE
13.13,2,Male,No,Dinner,2,FALSE,FALSE,FALSE,TRUE
17.26,2.74,Male,No,Dinner,3,FALSE,FALSE,FALSE,TRUE
24.55,2,Male,No,Dinner,4,FALSE,FALSE,FALSE,TRUE
19.77,2,Male,No,Dinner,4,FALSE,FALSE,FALSE,TRUE
29.85,5.14,Female,No,Dinner,5,FALSE,FALSE,FALSE,TRUE
48.17,5,Male,No,Dinner,6,FALSE,FALSE,FALSE,TRUE
25,3.75,Female,No,Dinner,4,FALSE,FALSE,FALSE,TRUE
13.39,2.61,Female,No,Dinner,2,FALSE,FALSE,FALSE,TRUE
16.49,2,Male,No,Dinner,4,FALSE,FALSE,FALSE,TRUE
21.5,3.5,Male,No,Dinner,4,FALSE,FALSE,FALSE,TRUE
12.66,2.5,Male,No,Dinner,2,FALSE,FALSE,FALSE,TRUE
16.21,2,Female,No,Dinner,3,FALSE,FALSE,FALSE,TRUE
13.81,2,Male,No,Dinner,2,FALSE,FALSE,FALSE,TRUE
17.51,3,Female,Yes,Dinner,2,FALSE,FALSE,FALSE,TRUE
24.52,3.48,Male,No,Dinner,3,FALSE,FALSE,FALSE,TRUE
20.76,2.24,Male,No,Dinner,2,FALSE,FALSE,FALSE,TRUE
31.71,4.5,Male,No,Dinner,4,FALSE,FALSE,FALSE,TRUE
10.59,1.61,Female,Yes,Dinner,2,FALSE,FALSE,TRUE,FALSE
10.63,2,Female,Yes,Dinner,2,FALSE,FALSE,TRUE,FALSE
50.81,10,Male,Yes,Dinner,3,FALSE,FALSE,TRUE,FALSE
15.81,3.16,Male,Yes,Dinner,2,FALSE,FALSE,TRUE,FALSE
7.25,5.15,Male,Yes,Dinner,2,FALSE,FALSE,FALSE,TRUE
31.85,3.18,Male,Yes,Dinner,2,FALSE,FALSE,FALSE,TRUE
16.82,4,Male,Yes,Dinner,2,FALSE,FALSE,FALSE,TRUE
32.9,3.11,Male,Yes,Dinner,2,FALSE,FALSE,FALSE,TRUE
17.89,2,Male,Yes,Dinner,2,FALSE,FALSE,FALSE,TRUE
14.48,2,Male,Yes,Dinner,2,FALSE,FALSE,FALSE,TRUE
9.6,4,Female,Yes,Dinner,2,FALSE,FALSE,FALSE,TRUE
34.63,3.55,Male,Yes,Dinner,2,FALSE,FALSE,FALSE,TRUE
34.65,3.68,Male,Yes,Dinner,4,FALSE,FALSE,FALSE,TRUE
23.33,5.65,Male,Yes,Dinner,2,FALSE,FALSE,FALSE,TRUE
45.35,3.5,Male,Yes,Dinner,3,FALSE,FALSE,FALSE,TRUE
23.17,6.5,Male,Yes,Dinner,4,FALSE,FALSE,FALSE,TRUE
40.55,3,Male,Yes,Dinner,2,FALSE,FALSE,FALSE,TRUE
20.69,5,Male,No,Dinner,5,FALSE,FALSE,FALSE,TRUE
20.9,3.5,Female,Yes,Dinner,3,FALSE,FALSE,FALSE,TRUE
30.46,2,Male,Yes,Dinner,5,FALSE,FALSE,FALSE,TRUE
18.15,3.5,Female,Yes,Dinner,3,FALSE,FALSE,FALSE,TRUE
23.1,4,Male,Yes,Dinner,3,FALSE,FALSE,FALSE,TRUE
15.69,1.5,Male,Yes,Dinner,2,FALSE,FALSE,FALSE,TRUE
19.81,4.19,Female,Yes,Lunch,2,TRUE,FALSE,FALSE,FALSE
28.44,2.56,Male,Yes,Lunch,2,TRUE,FALSE,FALSE,FALSE
15.48,2.02,Male,Yes,Lunch,2,TRUE,FALSE,FALSE,FALSE
16.58,4,Male,Yes,Lunch,2,TRUE,FALSE,FALSE,FALSE
7.56,1.44,Male,No,Lunch,2,TRUE,FALSE,FALSE,FALSE
10.34,2,Male,Yes,Lunch,2,TRUE,FALSE,FALSE,FALSE
43.11,5,Female,Yes,Lunch,4,TRUE,FALSE,FALSE,FALSE
13,2,Female,Yes,Lunch,2,TRUE,FALSE,FALSE,FALSE
13.51,2,Male,Yes,Lunch,2,TRUE,FALSE,FALSE,FALSE
18.71,4,Male,Yes,Lunch,3,TRUE,FALSE,FALSE,FALSE
12.74,2.01,Female,Yes,Lunch,2,TRUE,FALSE,FALSE,FALSE
13,2,Female,Yes,Lunch,2,TRUE,FALSE,FALSE,FALSE
16.4,2.5,Female,Yes,Lunch,2,TRUE,FALSE,FALSE,FALSE
20.53,4,Male,Yes,Lunch,4,TRUE,FALSE,FALSE,FALSE
16.47,3.23,Female,Yes,Lunch,3,TRUE,FALSE,FALSE,FALSE
26.59,3.41,Male,Yes,Dinner,3,FALSE,FALSE,TRUE,FALSE
38.73,3,Male,Yes,Dinner,4,FALSE,FALSE,TRUE,FALSE
24.27,2.03,Male,Yes,Dinner,2,FALSE,FALSE,TRUE,FALSE
12.76,2.23,Female,Yes,Dinner,2,FALSE,FALSE,TRUE,FALSE
30.06,2,Male,Yes,Dinner,3,FALSE,FALSE,TRUE,FALSE
25.89,5.16,Male,Yes,Dinner,4,FALSE,FALSE,TRUE,FALSE
48.33,9,Male,No,Dinner,4,FALSE,FALSE,TRUE,FALSE
13.27,2.5,Female,Yes,Dinner,2,FALSE,FALSE,TRUE,FALSE
28.17,6.5,Female,Yes,Dinner,3,FALSE,FALSE,TRUE,FALSE
12.9,1.1,Female,Yes,Dinner,2,FALSE,FALSE,TRUE,FALSE
28.15,3,Male,Yes,Dinner,5,FALSE,FALSE,TRUE,FALSE
11.59,1.5,Male,Yes,Dinner,2,FALSE,FALSE,TRUE,FALSE
7.74,1.44,Male,Yes,Dinner,2,FALSE,FALSE,TRUE,FALSE
30.14,3.09,Female,Yes,Dinner,4,FALSE,FALSE,TRUE,FALSE
12.16,2.2,Male,Yes,Lunch,2,FALSE,TRUE,FALSE,FALSE
13.42,3.48,Female,Yes,Lunch,2,FALSE,TRUE,FALSE,FALSE
8.58,1.92,Male,Yes,Lunch,1,FALSE,TRUE,FALSE,FALSE
15.98,3,Female,No,Lunch,3,FALSE,TRUE,FALSE,FALSE
13.42,1.58,Male,Yes,Lunch,2,FALSE,TRUE,FALSE,FALSE
16.27,2.5,Female,Yes,Lunch,2,FALSE,TRUE,FALSE,FALSE
10.09,2,Female,Yes,Lunch,2,FALSE,TRUE,FALSE,FALSE
20.45,3,Male,No,Dinner,4,FALSE,FALSE,TRUE,FALSE
13.28,2.72,Male,No,Dinner,2,FALSE,FALSE,TRUE,FALSE
22.12,2.88,Female,Yes,Dinner,2,FALSE,FALSE,TRUE,FALSE
24.01,2,Male,Yes,Dinner,4,FALSE,FALSE,TRUE,FALSE
15.69,3,Male,Yes,Dinner,3,FALSE,FALSE,TRUE,FALSE
11.61,3.39,Male,No,Dinner,2,FALSE,FALSE,TRUE,FALSE
10.77,1.47,Male,No,Dinner,2,FALSE,FALSE,TRUE,FALSE
15.53,3,Male,Yes,Dinner,2,FALSE,FALSE,TRUE,FALSE
10.07,1.25,Male,No,Dinner,2,FALSE,FALSE,TRUE,FALSE
12.6,1,Male,Yes,Dinner,2,FALSE,FALSE,TRUE,FALSE
32.83,1.17,Male,Yes,Dinner,2,FALSE,FALSE,TRUE,FALSE
35.83,4.67,Female,No,Dinner,3,FALSE,FALSE,TRUE,FALSE
29.03,5.92,Male,No,Dinner,3,FALSE,FALSE,TRUE,FALSE
27.18,2,Female,Yes,Dinner,2,FALSE,FALSE,TRUE,FALSE
22.67,2,Male,Yes,Dinner,2,FALSE,FALSE,TRUE,FALSE
17.82,1.75,Male,No,Dinner,2,FALSE,FALSE,TRUE,FALSE
18.78,3,Female,No,Dinner,2,TRUE,FALSE,FALSE,FALSE
